Parameters,p0,p1,p2,p3,p4,p5
A,0.931,0.055,0.01,0,0.001,0.003
C,0.978,0.017,0.004,0.001,0,0
E,0,0.921,0.062,0.015,0.002,0
F,0,0.968,0.024,0.005,0.003,0
G,0,0.975,0.025,0,0,0
H,0,0.958,0.026,0.011,0.003,0.002
